"name" "iF" "mF" "oF" "nF" "vF" "iM" "mM" "oM" "nM" "vM" "iN" "mN" "oN" "nN" "vN" "iA" "mA" "oA" "nA" "vA" "iFM" "mFM" "oFM" "nFM" "vFM" "iMN" "mMN" "oMN" "nMN" "vMN" "iFN" "mFN" "oFN" "nFN" "vFN" "notesF" "notesM" "notesN" "language" "int" "mouth" "nasal" "height" "front" "asp" "glot" "onset" "vC" "iC" "oC" "nC" "mC"
"1" "short_clip_Chapalaa_CHSF2011-02-15S4_147960_150940" "f" "o" "g" "o" "a" "l" "o" "g" "n" "@" "f" "o" "g" "n" "@" "False" "True" "True" "False" "False" "False" "True" "True" "False" "False" "False" "True" "True" "True" "True" "True" "True" "True" "False" "False" NA "v: but fronter and lower than @, towards a." NA "Chapalaa" -2 2 2 2 0 NA 3 -3 "a @ @" "f l f" "g g g" "o n n" "o o o"
"2" "short_clip_Chapalaa_CHSF2011-02-15S4_156410_159370" "f" "o" "g" "o" "E" "f" "o" "g" "n" "E" "f" "o" "g" "n" "E" "True" "True" "True" "False" "True" "True" "True" "True" "False" "True" "True" "True" "True" "True" "True" "True" "True" "True" "False" "True" NA "v: bit towards lower and central." NA "Chapalaa" -3 2 2 0 3 NA 3 -3 "E E E" "f f f" "g g g" "o n n" "o o o"
"3" "short_clip_Chapalaa_CHSF2011-02-15S4_161050_164650" "f" "o" "g" "o" "a" "f" "o" "g" "n" "a" "f" "o" "z" "n" "a" "True" "True" "False" "False" "True" "True" "True" "True" "False" "True" "True" "True" "False" "True" "True" "True" "True" "False" "False" "True" NA "o: if not glottal very abrupt." NA "Chapalaa" -3 2 2 0 0 NA 2 -2 "a a a" "f f f" "g g z" "o n n" "o o o"
"4" "short_clip_Chapalaa_CHSF2011-02-15S4_166740_170600" "f" "o" "g" "o" "@" "f" "o" "z" "n" "a" "f" "o" "g" "n" "a" "True" "True" "False" "False" "False" "True" "True" "False" "False" "False" "True" "True" "False" "True" "True" "True" "True" "True" "False" "False" NA "v: nasal masks vowel quality" NA "Chapalaa" -3 2 2 1 0 NA 2 -2 "@ a a" "f f f" "g z g" "o n n" "o o o"
"5" "short_clip_Chapalaa_CHSF2011-02-15S4_235380_239860" "f" "o" "h" "o" "E" "f" "o" "z" "n" "a" "f" "o" "z" "n" "a" "True" "True" "False" "False" "False" "True" "True" "False" "False" "False" "True" "True" "True" "True" "True" "True" "True" "False" "False" "False" NA NA NA "Chapalaa" -3 2 2 0 1 1 NA 1 "E a a" "f f f" "h z z" "o n n" "o o o"
"6" "short_clip_Chapalaa_CHSF2011-02-15S4_380440_382650" "f" "o" "z" "n" "a" "f" "i" "z" "n" "@" "f" "o" "z" "n" "a" "True" "False" "True" "True" "False" "True" "False" "True" "True" "False" "True" "False" "True" "True" "False" "True" "True" "True" "True" "True" NA "v: difficult to hear due to overlap." NA "Chapalaa" -3 1 3 1 0 0 0 0 "a @ a" "f f f" "z z z" "n n n" "o i o"
"7" "short_clip_Chapalaa_CHSF2011-02-15S4_577010_580080" "f" "o" "z" "n" "a" "f" "o" "g" "n" "a" "f" "o" "z" "n" "a" "True" "True" "False" "True" "True" "True" "True" "False" "True" "True" "True" "True" "False" "True" "True" "True" "True" "True" "True" "True" NA "o: nearly inaudible but abruptness makes me perceive g. v: quite higher and more central towards ae." NA "Chapalaa" -3 2 3 0 0 NA 1 -1 "a a a" "f f f" "z g z" "n n n" "o o o"
"8" "short_clip_Chapalaa_CHSF2011-02-15S4_7113180_7115900" "l" "o" "g" "o" "a" "l" "o" "z" "n" "a" "f" "o" "z" "n" "a" "False" "True" "False" "False" "True" "True" "True" "False" "False" "True" "False" "True" "True" "True" "True" "False" "True" "False" "False" "True" NA "p: psychoacoustically falling but appears to be level. v: bit higher." NA "Chapalaa" -1 2 2 0 0 NA 1 -1 "a a a" "l l f" "g z z" "o n n" "o o o"
"9" "short_clip_Chapalaa_CHSF2011-02-15S5_52_53" "f" "o" "h" "n" "@" "f" "o" "g" "n" "a" "f" "o" "z" "n" "a" "True" "True" "False" "True" "False" "True" "True" "False" "True" "False" "True" "True" "False" "True" "True" "True" "True" "False" "True" "False" NA "v: quite back and a bit more central than a." NA "Chapalaa" -3 2 3 1 0 NA NA 0 "@ a a" "f f f" "h g z" "n n n" "o o o"
"10" "short_clip_Chapalaa_CHSF2011-02-15S5_54_19" "f" "o" "g" "n" "a" "f" "i" "g" "n" "@" "f" "o" "g" "n" "a" "True" "False" "True" "True" "False" "True" "False" "True" "True" "False" "True" "False" "True" "True" "False" "True" "True" "True" "True" "True" NA "v: @ goes with intermediate closure, feels undershot." NA "Chapalaa" -3 1 3 1 0 NA 3 -3 "a @ a" "f f f" "g g g" "n n n" "o i o"
