name	f1	f2	f3	language
Chapalaa_CHSF2011-02-15S4_235380_239860	790	1569	1569	Ch
Chapalaa_CHSF2011-02-15S4_380440_382650	875	1743	1743	Ch
Chapalaa_CHSF2011-02-15S4_577010_580080	790	1999	1999	Ch
Chapalaa_CHSF2011-02-15S5_57_45	801	1376	1376	Ch
Chapalaa_CHSF2011-02-15S5_evening_at_vicentes_house_1475999	718	1212	1212	Ch
Chapalaa_CHSF2012_01_06_222725_226247	757	1071	1071	Ch
Chapalaa_CHSF2012_01_06_2594180_2599020	940	1516	1516	Ch
Chapalaa_CHSF2012_01_06_323590_326404	776	1326	1326	Ch
Chapalaa_CHSF2012_01_06_3879100_3881700	696	1246	1246	Ch
Chapalaa_CHSF2012_01_06_3929300_3932300	836	1307	1307	Ch
Chapalaa_CHSF2012_01_06_3935700_3938800	884	1553	1553	Ch
Chapalaa_CHSF2012_01_06_3983000_3988000	678	1119	1119	Ch
Chapalaa_CHSF2012_01_06_4060071_4063021	809	1832	1832	Ch
Sp_04_378440_387090	499	2067	2067	Sp
Sp_04_594170_599850	485	2039	2039	Sp
Sp_10_474140_479300	504	1692	1692	Sp
Sp_14_364070_370280	700	2170	2170	Sp
Sp_16_729220_734060	492	1749	1749	Sp
Sp_23_1124460_1128570	592	1598	1598	Sp
Sp_23_1194800_1199480	537	1782	1782	Sp
Sp_23_161670_167550	415	1871	1871	Sp
Sp_23_560420_565020	442	1940	1940	Sp
Sp_23_682150_687600	464	1830	1830	Sp
Sp_23_868430_873450	458	1655	1655	Sp
Sp_23_876330_881050	550	1807	1807	Sp
