"language" "front" "height"
"1" "Chapalaa" 0 2
"2" "Chapalaa" 3 0
"3" "Chapalaa" 0 0
"4" "Chapalaa" 0 1
"5" "Chapalaa" 1 0
"6" "Chapalaa" 0 1
"7" "Chapalaa" 0 0
"8" "Chapalaa" 0 0
"9" "Chapalaa" 0 1
"10" "Chapalaa" 0 1
"11" "Chapalaa" 0 0
"12" "Chapalaa" 0 1
"13" "Chapalaa" 0 0
"14" "Chapalaa" 0 1
"15" "Chapalaa" 0 0
"16" "Chapalaa" 0 0
"19" "Chapalaa" 0 0
"20" "Chapalaa" 0 0
"21" "Chapalaa" 0 0
"24" "Chapalaa" 0 0
"25" "Chapalaa" 0 0
"26" "Chapalaa" 0 1
"29" "Chapalaa" 0 0
"30" "Chapalaa" 0 0
"31" "Chapalaa" 0 0
"32" "Chapalaa" 0 0
"33" "Chapalaa" 0 1
"36" "Chintang" 0 1
"38" "Chintang" 1 2
"39" "Chintang" 0 1
"40" "Chintang" 0 0
"45" "Duna" 2 2
"48" "Dutch" 1 3
"52" "Dutch" 0 3
"53" "Dutch" 0 3
"54" "Dutch" 2 2
"55" "Dutch" 2 2
"57" "Icelandic" 0 0
"58" "Icelandic" 0 0
"59" "Icelandic" 0 0
"60" "Icelandic" 0 0
"61" "Icelandic" 0 0
"62" "Icelandic" 0 0
"63" "Icelandic" 0 0
"64" "Icelandic" 0 0
"65" "Icelandic" 0 0
"68" "Icelandic" 0 0
"70" "Icelandic" 0 0
"71" "Icelandic" 0 0
"72" "Icelandic" 0 1
"73" "Icelandic" 0 0
"76" "Icelandic" 2 1
"77" "Icelandic" 1 2
"78" "Icelandic" 0 0
"79" "Icelandic" 0 0
"80" "Italian" 0 1
"81" "Italian" 3 0
"82" "Italian" 3 0
"85" "Italian" 3 1
"86" "Italian" 3 2
"87" "Italian" 3 1
"88" "Italian" 1 0
"89" "Italian" 3 0
"90" "Italian" 3 1
"91" "Italian" 1 0
"92" "Italian" 3 2
"93" "Italian" 3 2
"94" "Lao" 0 3
"95" "Lao" 0 3
"96" "Lao" 1 1
"97" "Lao" 2 0
"100" "Lao" 0 0
"101" "Lao" 3 3
"102" "Lao" 0 1
"103" "Lao" 3 1
"104" "Lao" 1 2
"105" "Lao" 0 1
"106" "Lao" 0 2
"108" "Lao" 2 0
"109" "Lao" 1 0
"110" "Lao" 1 1
"111" "Lao" 3 0
"114" "Lao" 1 2
"116" "Lao" 1 1
"117" "MP" 1 1
"118" "MP" 0 0
"119" "MP" 0 0
"120" "MP" 2 0
"121" "MP" 0 2
"122" "MP" 1 1
"123" "MP" 0 3
"124" "MP" 0 2
"125" "MP" 0 1
"126" "MP" 0 3
"127" "MP" 0 1
"128" "MP" 0 0
"129" "MP" 0 3
"130" "MP" 0 3
"131" "MP" 0 0
"132" "MP" 1 2
"133" "MP" 0 1
"134" "MP" 0 0
"135" "MP" 0 2
"137" "MP" 0 3
"138" "MP" 0 0
"142" "Madarin" 1 0
"143" "Madarin" 0 0
"146" "Madarin" 1 0
"148" "Madarin" 1 0
"149" "Madarin" 0 1
"150" "Russian" 1 0
"154" "Russian" 0 0
"156" "Russian" 0 0
"157" "Russian" 2 1
"158" "Russian" 1 2
"159" "Russian" 0 0
"160" "Russian" 2 1
"162" "Russian" 0 3
"165" "Russian" 2 1
"166" "Russian" 0 3
"167" "Russian" 0 3
"168" "Siwu" 2 0
"170" "Siwu" 0 3
"171" "Siwu" 0 1
"172" "Siwu" 0 1
"173" "Siwu" 1 0
"174" "Siwu" 0 2
"175" "Siwu" 0 1
"178" "Siwu" 3 2
"182" "Siwu" 2 1
"184" "Siwu" 1 1
"185" "Siwu" 0 0
"186" "Siwu" 3 0
"187" "Siwu" 0 3
"188" "Siwu" 0 0
"189" "Siwu" 3 0
"190" "Siwu" 1 2
"192" "Spanish" 3 3
"193" "Spanish" 3 3
"194" "Spanish" 2 3
"195" "Spanish" 3 3
"196" "Spanish" 3 2
"197" "Spanish" 3 1
"198" "Spanish" 0 3
"199" "Spanish" 3 2
"200" "Spanish" 3 2
"201" "Spanish" 3 3
"202" "Spanish" 3 2
"203" "Spanish" 2 2
"204" "Spanish" 3 3
"205" "Spanish" 3 3
